dist_type,dN,dS,dNdS
introgressed,0.007,0.0269,0.26156
introgressed,0.0073,0.0784,0.09344
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0322,0.0001
introgressed,0.0,0.0198,0.0001
introgressed,0.0028,0.024,0.11741
introgressed,0.0092,0.0445,0.20618
introgressed,0.0,0.0081,0.0001
introgressed,0.0039,0.0311,0.12652
introgressed,0.0,0.0,0.0001
introgressed,0.0157,0.0857,0.18343
introgressed,0.0132,0.0255,0.5187
introgressed,0.0011,0.0245,0.04575
introgressed,0.0087,0.0781,0.1112
introgressed,0.005,0.0178,0.28241
introgressed,0.0096,0.0487,0.19747
introgressed,0.031,0.0869,0.3572
introgressed,0.0044,0.0264,0.16667
introgressed,0.0083,0.0744,0.11197
introgressed,0.0208,0.0359,0.57941
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0038,0.0001
introgressed,0.0111,0.0225,0.49461
introgressed,0.0025,0.0181,0.13756
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0027,0.0001
introgressed,0.0158,0.1684,0.0938
introgressed,0.0015,0.0179,0.08537
introgressed,0.0097,0.0767,0.12662
introgressed,0.0132,0.0293,0.44897
introgressed,0.0067,0.0193,0.34748
introgressed,0.0,0.0,0.0001
introgressed,0.0172,0.0394,0.43565
introgressed,0.0039,0.0436,0.08873
introgressed,0.0019,0.0103,0.18232
introgressed,0.0078,0.1082,0.07244
introgressed,0.0013,0.0046,0.27874
introgressed,0.0032,0.1102,0.02882
introgressed,0.0,0.0,0.4
introgressed,0.0023,0.0235,0.09713
introgressed,0.0043,0.0801,0.05417
introgressed,0.0,0.0561,0.0001
introgressed,0.0042,0.0499,0.08353
introgressed,0.0,0.0,0.59286
introgressed,0.0013,0.0021,0.59949
introgressed,0.0354,0.1298,0.27237
introgressed,0.0009,0.002,0.45511
introgressed,0.0,0.0,0.52566
introgressed,0.0036,0.0425,0.084
introgressed,0.0,0.0,0.4754
introgressed,0.0018,0.1294,0.01409
introgressed,0.0003,0.0034,0.10377
introgressed,0.0324,0.049,0.6614
introgressed,0.0,0.0043,0.0001
introgressed,0.0048,0.0192,0.25101
introgressed,0.0051,0.0806,0.06365
introgressed,0.0,0.004,0.0001
introgressed,0.003,0.05,0.05977
introgressed,0.0107,0.0515,0.20701
introgressed,0.0,0.0,0.36531
introgressed,0.0433,0.0724,0.59887
introgressed,0.0351,0.0832,0.42199
introgressed,0.0,0.0077,0.0001
introgressed,0.0033,0.0139,0.23733
introgressed,0.0405,0.1127,0.35918
introgressed,0.0006,0.0151,0.03656
introgressed,0.0079,0.1149,0.06834
introgressed,0.0192,0.0377,0.50919
introgressed,0.0,0.0,0.39999
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0,0.0001
introgressed,0.006,0.097,0.06185
introgressed,0.0017,0.0069,0.24935
introgressed,0.0146,0.0601,0.24229
introgressed,0.0126,0.0388,0.32407
introgressed,0.0,0.0,0.30014
introgressed,0.0208,0.0864,0.2407
introgressed,0.0127,0.1025,0.12358
introgressed,0.0,0.0,0.0001
introgressed,0.0185,0.0707,0.2614
introgressed,0.0141,0.0903,0.15643
introgressed,0.0,0.031,0.0001
introgressed,0.0189,0.089,0.2118
introgressed,0.0,0.0046,0.0001
introgressed,0.0105,0.1542,0.06826
introgressed,0.0031,0.0393,0.07949
introgressed,0.0,0.006,0.0001
introgressed,0.0,0.0,0.0001
introgressed,0.0435,0.0543,0.80019
introgressed,0.0033,0.0474,0.06916
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0,0.0001
introgressed,0.0161,0.0948,0.16947
introgressed,0.0,0.0,0.40001
introgressed,0.0074,0.0151,0.4877
introgressed,0.0015,0.0106,0.1413
introgressed,0.0165,0.0482,0.34313
introgressed,0.0,0.0,0.0001
introgressed,0.0049,0.1216,0.04064
introgressed,0.0107,0.048,0.2229
introgressed,0.0208,0.1904,0.10939
introgressed,0.0016,0.029,0.05352
introgressed,0.0161,0.1073,0.1497
introgressed,0.0,0.0156,0.0001
introgressed,0.0,0.0,0.33574
introgressed,0.0042,0.0282,0.15076
introgressed,0.0,0.0,0.0001
introgressed,0.0063,0.0067,0.92981
introgressed,0.0114,0.0905,0.12597
introgressed,0.0312,0.0375,0.83223
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0,0.0001
introgressed,0.0119,0.0813,0.14617
introgressed,0.0,0.0,0.0001
introgressed,0.0423,0.1169,0.36161
introgressed,0.0,0.0054,0.0001
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0573,0.0001
introgressed,0.0022,0.0494,0.04365
introgressed,0.0154,0.0524,0.29389
introgressed,0.0279,0.0564,0.49533
introgressed,0.0,0.0197,0.0001
introgressed,0.0059,0.0466,0.12671
introgressed,0.0108,0.0279,0.38767
introgressed,0.0,0.0,0.32391
introgressed,0.0038,0.023,0.16752
introgressed,0.024,0.0333,0.72043
introgressed,0.0,0.0,0.03233
introgressed,0.0087,0.0738,0.11752
introgressed,0.0028,0.0098,0.28405
introgressed,0.0022,0.0917,0.02387
introgressed,0.0,0.0,0.4
introgressed,0.0,0.0,0.2814
introgressed,0.0,0.03,0.0001
introgressed,0.0,0.0271,0.0001
introgressed,0.0302,0.0738,0.40891
introgressed,0.0028,0.0238,0.11818
introgressed,0.0051,0.0339,0.14933
introgressed,0.0314,0.0687,0.45675
introgressed,0.0202,0.0533,0.37832
introgressed,0.0058,0.0201,0.29014
introgressed,0.0,0.0,0.0001
introgressed,0.015,0.0157,0.95628
introgressed,0.027,0.031,0.86922
introgressed,0.0239,0.0188,1.2672
introgressed,0.0009,0.0058,0.1551
introgressed,0.0131,0.0253,0.51887
introgressed,0.0,0.0,0.54445
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0,0.0001
introgressed,0.0139,0.0655,0.21241
introgressed,0.0084,0.0327,0.25575
introgressed,0.0018,0.0107,0.17039
introgressed,0.0,0.0,0.0001
introgressed,0.0223,0.0924,0.24166
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0,0.0001
introgressed,0.0087,0.0939,0.09238
introgressed,0.0,0.0,0.34918
introgressed,0.0,0.0127,0.0001
introgressed,0.0331,0.1118,0.29569
introgressed,0.0224,0.1882,0.11907
introgressed,0.0,0.0097,0.0001
introgressed,0.0,0.0116,0.0001
introgressed,0.0008,0.0119,0.06487
introgressed,0.0253,0.0624,0.40589
introgressed,0.0201,0.0337,0.59709
introgressed,0.0063,0.0654,0.09556
introgressed,0.0057,0.0615,0.09297
introgressed,0.0091,0.1411,0.06456
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.1032,0.0001
introgressed,0.0136,0.0414,0.32735
introgressed,0.002,0.0213,0.0919
introgressed,0.0014,0.0152,0.09477
introgressed,0.0458,0.0647,0.70793
introgressed,0.0,0.0041,0.0001
introgressed,0.0093,0.0689,0.13486
introgressed,0.0341,0.052,0.65543
introgressed,0.0,0.0,0.40002
introgressed,0.0188,0.0633,0.29668
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0,0.0001
introgressed,0.0102,0.0422,0.24108
introgressed,0.0013,0.0043,0.29587
introgressed,0.0044,0.0447,0.0985
introgressed,0.0,0.0126,0.0001
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0017,0.0001
introgressed,0.0,0.0124,0.0001
introgressed,0.0211,0.107,0.19679
introgressed,0.0,0.0005,0.0001
introgressed,0.0235,0.1158,0.20305
introgressed,0.0067,0.1354,0.0492
introgressed,0.0,0.0,0.53595
introgressed,0.0,0.0,0.39991
introgressed,0.0,0.0791,0.0001
introgressed,0.0031,0.0495,0.06291
introgressed,0.0237,0.1014,0.23409
introgressed,0.021,0.0989,0.21265
introgressed,0.0035,0.0139,0.25194
introgressed,0.0,0.0,0.41861
introgressed,0.004,0.0355,0.11138
introgressed,0.0284,0.0414,0.68734
introgressed,0.003,0.1481,0.02036
introgressed,0.015,0.1114,0.13448
introgressed,0.0086,0.135,0.06337
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0,0.40024
introgressed,0.0201,0.0565,0.35537
introgressed,0.0065,0.1781,0.03637
introgressed,0.0057,0.0866,0.06604
introgressed,0.0,0.0,0.0001
introgressed,0.0362,0.091,0.39739
introgressed,0.0035,0.0798,0.04352
introgressed,0.0,0.0,0.4
introgressed,0.0,0.0053,0.0001
introgressed,0.0166,0.0547,0.30377
introgressed,0.0219,0.0813,0.26955
introgressed,0.0393,0.0852,0.461
introgressed,0.0,0.016,0.0001
introgressed,0.0181,0.1254,0.14409
