dist_type,dN,dS,dNdS
introgressed,0.0,0.0,0.0001
introgressed,0.0275,0.1651,0.16658
introgressed,0.0,0.0311,0.0001
introgressed,0.0039,0.0255,0.15423
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0044,0.0001
introgressed,0.0063,0.0116,0.54319
introgressed,0.0,0.0,0.40003
introgressed,0.0334,0.1088,0.30717
introgressed,0.0,0.0042,0.0001
introgressed,0.0,0.0,0.16533
introgressed,0.0,0.0103,0.0001
introgressed,0.0026,0.0026,1.01438
introgressed,0.0,0.0,0.0001
introgressed,0.0018,0.0041,0.45114
introgressed,0.0167,0.1424,0.11759
introgressed,0.001,0.0718,0.01344
introgressed,0.0,0.0,0.0001
introgressed,0.0126,0.0421,0.29867
introgressed,0.0193,0.1045,0.1845
introgressed,0.004,0.0141,0.28564
introgressed,0.0368,0.1268,0.29011
introgressed,0.021,0.0767,0.27377
introgressed,0.003,0.05,0.06073
introgressed,0.0202,0.122,0.1656
introgressed,0.0326,0.1626,0.20058
introgressed,0.015,0.0569,0.26418
introgressed,0.0087,0.0186,0.46633
introgressed,0.0,0.0,0.19316
introgressed,0.0135,0.0993,0.13582
introgressed,0.0247,0.0418,0.59091
introgressed,0.0012,0.0038,0.30448
introgressed,0.0,0.0,0.0001
introgressed,0.0095,0.0828,0.11492
introgressed,0.002,0.0532,0.0377
introgressed,0.0062,0.0902,0.06866
introgressed,0.0,0.0,0.0001
introgressed,0.0176,0.0806,0.21857
introgressed,0.0,0.0278,0.0001
introgressed,0.001,0.0105,0.09419
introgressed,0.0057,0.0266,0.21446
introgressed,0.0166,0.0346,0.47985
introgressed,0.0175,0.0577,0.30334
introgressed,0.0079,0.0567,0.13951
introgressed,0.0037,0.0785,0.04715
introgressed,0.0,0.0,0.0001
introgressed,0.038,0.07,0.54297
introgressed,0.0182,0.0919,0.19749
introgressed,0.004,0.0347,0.11443
introgressed,0.0098,0.0136,0.71633
introgressed,0.0,0.0,0.0001
introgressed,0.0039,0.019,0.20504
introgressed,0.029,0.1556,0.18668
introgressed,0.0109,0.0752,0.14554
introgressed,0.0,0.0,0.0001
introgressed,0.0017,0.0069,0.24793
introgressed,0.0287,0.0981,0.29251
introgressed,0.0,0.0,0.8453
introgressed,0.0,0.0,0.10174
introgressed,0.0064,0.0436,0.14575
introgressed,0.0083,0.1246,0.06639
introgressed,0.0,0.0,0.0001
introgressed,0.0085,0.0613,0.13841
introgressed,0.0,0.0,0.08561
introgressed,0.0,0.0,0.0001
introgressed,0.004,0.0457,0.08649
introgressed,0.0029,0.0134,0.22056
introgressed,0.015,0.0308,0.48691
introgressed,0.0145,0.0555,0.26062
introgressed,0.0,0.0,0.27654
introgressed,0.0091,0.0961,0.0949
introgressed,0.0099,0.0878,0.11229
introgressed,0.0045,0.049,0.09111
introgressed,0.0015,0.0052,0.29733
non_introgressed,0.0182,0.0832,0.21889
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0101,0.2308,0.04377
non_introgressed,0.0111,0.1065,0.10469
non_introgressed,0.0134,0.0387,0.34587
non_introgressed,0.002,0.004,0.50833
non_introgressed,0.0,0.0219,0.0001
non_introgressed,0.0363,0.0323,1.12083
non_introgressed,0.0019,0.0336,0.05758
non_introgressed,0.0011,0.0041,0.28125
non_introgressed,0.0094,0.0831,0.11311
non_introgressed,0.0078,0.0807,0.09717
non_introgressed,0.0152,0.1274,0.11953
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0307,0.1411,0.21752
non_introgressed,0.0074,0.0712,0.10366
non_introgressed,0.0,0.0146,0.0001
non_introgressed,0.0,0.0553,0.0001
non_introgressed,0.0268,0.0188,1.43023
non_introgressed,0.0052,0.0224,0.23265
non_introgressed,0.0032,0.0243,0.12971
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0043,0.003,1.41172
non_introgressed,0.0027,0.0571,0.04701
non_introgressed,0.0155,0.0805,0.193
non_introgressed,0.0085,0.0196,0.43508
non_introgressed,0.012,0.1181,0.1018
non_introgressed,0.0017,0.0208,0.07983
non_introgressed,0.0121,0.059,0.20481
non_introgressed,0.0026,0.0056,0.46557
non_introgressed,0.0261,0.033,0.79324
non_introgressed,0.0408,0.0498,0.81843
non_introgressed,0.0342,0.046,0.74359
non_introgressed,0.005,0.0911,0.05466
non_introgressed,0.0063,0.0944,0.06722
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0202,0.1021,0.19775
non_introgressed,0.0069,0.0383,0.18042
non_introgressed,0.0,0.1144,0.0001
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0286,0.0471,0.60756
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0184,0.0217,0.84582
non_introgressed,0.0183,0.0415,0.44025
non_introgressed,0.0275,0.0851,0.32282
non_introgressed,0.0388,0.0453,0.85661
non_introgressed,0.0262,0.047,0.55632
non_introgressed,0.013,0.0164,0.79592
non_introgressed,0.0114,0.0726,0.15693
non_introgressed,0.0097,0.0606,0.15995
non_introgressed,0.0475,0.0341,1.38974
non_introgressed,0.0123,0.0995,0.1235
non_introgressed,0.0156,0.1023,0.15241
non_introgressed,0.0498,0.0764,0.65096
non_introgressed,0.0,0.0,0.40002
non_introgressed,0.001,0.0139,0.07391
non_introgressed,0.006,0.0759,0.07924
non_introgressed,0.0006,0.0016,0.35819
non_introgressed,0.0065,0.0774,0.08362
non_introgressed,0.0026,0.0872,0.03011
non_introgressed,0.0177,0.0627,0.28286
non_introgressed,0.0326,0.1031,0.31623
non_introgressed,0.0421,0.1082,0.38944
non_introgressed,0.0,0.0,0.49481
non_introgressed,0.0073,0.0713,0.10181
non_introgressed,0.0267,0.053,0.50302
non_introgressed,0.0081,0.0359,0.22656
non_introgressed,0.0226,0.0972,0.23278
non_introgressed,0.0146,0.0575,0.25366
non_introgressed,0.003,0.019,0.15911
non_introgressed,0.0,0.0249,0.0001
non_introgressed,0.0205,0.0317,0.64788
non_introgressed,0.0111,0.0165,0.67247
non_introgressed,0.0,0.0087,0.0001
non_introgressed,0.0086,0.0629,0.13686
non_introgressed,0.0151,0.14,0.10797
non_introgressed,0.0489,0.088,0.55582
non_introgressed,0.0356,0.0273,1.30722
non_introgressed,0.0,0.0,0.44586
non_introgressed,0.0117,0.1044,0.11172
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0103,0.1094,0.09416
non_introgressed,0.0022,0.0248,0.09023
non_introgressed,0.0077,0.0915,0.08443
non_introgressed,0.0036,0.0779,0.04668
non_introgressed,0.0071,0.0226,0.31199
non_introgressed,0.0256,0.0353,0.72574
non_introgressed,0.0016,0.0143,0.11312
non_introgressed,0.0266,0.0321,0.82993
non_introgressed,0.0,0.0,0.02048
non_introgressed,0.0158,0.0481,0.32908
non_introgressed,0.0261,0.072,0.36234
non_introgressed,0.0,0.0,0.39998
non_introgressed,0.0,0.0,0.4018
non_introgressed,0.0324,0.0551,0.58821
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0257,0.0634,0.40575
non_introgressed,0.029,0.0428,0.67685
non_introgressed,0.0028,0.0134,0.20777
non_introgressed,0.0402,0.059,0.68161
non_introgressed,0.0141,0.1005,0.14031
non_introgressed,0.0177,0.1047,0.16954
non_introgressed,0.0017,0.0044,0.38615
non_introgressed,0.0165,0.1046,0.15751
non_introgressed,0.0,0.1392,0.0001
non_introgressed,0.0051,0.008,0.64096
non_introgressed,0.0,0.058,0.0001
non_introgressed,0.0178,0.0413,0.4309
non_introgressed,0.0102,0.1279,0.07944
non_introgressed,0.0178,0.0851,0.20955
non_introgressed,0.022,0.1344,0.16383
non_introgressed,0.0028,0.0146,0.19363
non_introgressed,0.0,0.0107,0.0001
non_introgressed,0.0123,0.038,0.32397
non_introgressed,0.0012,0.0155,0.077
non_introgressed,0.0419,0.0314,1.33576
non_introgressed,0.0098,0.0539,0.18112
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0382,0.1139,0.33506
non_introgressed,0.0293,0.0809,0.36183
non_introgressed,0.0369,0.121,0.3049
non_introgressed,0.0493,0.1578,0.31247
non_introgressed,0.0048,0.0751,0.06339
non_introgressed,0.0201,0.0293,0.68527
non_introgressed,0.0085,0.1024,0.08335
non_introgressed,0.006,0.0735,0.08157
non_introgressed,0.0369,0.0606,0.60906
non_introgressed,0.0196,0.1396,0.1404
non_introgressed,0.0559,0.0375,1.49201
non_introgressed,0.0293,0.0378,0.77618
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0189,0.032,0.59113
non_introgressed,0.033,0.0221,1.48995
non_introgressed,0.0,0.0186,0.0001
non_introgressed,0.0316,0.1509,0.20954
non_introgressed,0.0095,0.0359,0.26358
non_introgressed,0.0133,0.0476,0.27994
non_introgressed,0.0,0.0695,0.0001
non_introgressed,0.0633,0.1463,0.43246
non_introgressed,0.0409,0.0423,0.96578
non_introgressed,0.025,0.0459,0.54399
non_introgressed,0.033,0.0933,0.3531
non_introgressed,0.036,0.051,0.70521
non_introgressed,0.0598,0.0481,1.24363
non_introgressed,0.0016,0.0038,0.42398
non_introgressed,0.0253,0.0514,0.49166
non_introgressed,0.0079,0.0647,0.12172
non_introgressed,0.014,0.0765,0.18322
non_introgressed,0.0441,0.0643,0.68658
non_introgressed,0.0372,0.0595,0.62595
non_introgressed,0.0144,0.0528,0.27363
non_introgressed,0.0085,0.0097,0.87932
non_introgressed,0.0,0.0162,0.0001
non_introgressed,0.0068,0.0643,0.10527
non_introgressed,0.0013,0.0067,0.19168
non_introgressed,0.0084,0.0884,0.09465
non_introgressed,0.0105,0.0926,0.11338
non_introgressed,0.0022,0.0124,0.18121
non_introgressed,0.0082,0.0784,0.10519
non_introgressed,0.007,0.0216,0.32343
non_introgressed,0.0559,0.0432,1.29513
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0033,0.0438,0.0763
non_introgressed,0.0025,0.0087,0.28914
non_introgressed,0.0196,0.0747,0.26201
non_introgressed,0.019,0.0599,0.31675
non_introgressed,0.0127,0.1353,0.09411
non_introgressed,0.0012,0.0102,0.11999
non_introgressed,0.0428,0.1285,0.33339
non_introgressed,0.0036,0.161,0.02213
non_introgressed,0.0118,0.0264,0.44611
non_introgressed,0.0217,0.0234,0.92909
non_introgressed,0.0147,0.0657,0.22381
non_introgressed,0.0187,0.0852,0.21931
non_introgressed,0.0098,0.098,0.10001
non_introgressed,0.0027,0.0026,1.06527
non_introgressed,0.0152,0.0602,0.25162
non_introgressed,0.0174,0.0239,0.72908
non_introgressed,0.0,0.0406,0.0001
non_introgressed,0.003,0.1555,0.01924
non_introgressed,0.0,0.0,0.40002
non_introgressed,0.0324,0.0433,0.74779
non_introgressed,0.0072,0.0086,0.83735
non_introgressed,0.0406,0.0499,0.81352
non_introgressed,0.0216,0.022,0.98037
non_introgressed,0.0,0.0415,0.0001
non_introgressed,0.0,0.0304,0.0001
non_introgressed,0.0,0.0521,0.0001
non_introgressed,0.0084,0.0209,0.40128
non_introgressed,0.0246,0.023,1.06824
non_introgressed,0.0,0.0,0.1015
non_introgressed,0.0047,0.0701,0.06715
non_introgressed,0.0,0.0593,0.0001
non_introgressed,0.0029,0.0022,1.34113
non_introgressed,0.0068,0.0119,0.57537
non_introgressed,0.0154,0.0134,1.14535
non_introgressed,0.014,0.097,0.14454
non_introgressed,0.0132,0.0938,0.14079
non_introgressed,0.0,0.0364,0.0001
non_introgressed,0.0012,0.0378,0.03042
non_introgressed,0.0,0.0176,0.0001
non_introgressed,0.0192,0.0812,0.23661
non_introgressed,0.0,0.0,0.55398
non_introgressed,0.0283,0.1458,0.1942
non_introgressed,0.0372,0.0356,1.04632
non_introgressed,0.0,0.0104,0.0001
non_introgressed,0.0211,0.0636,0.33131
non_introgressed,0.0004,0.0047,0.07877
non_introgressed,0.0046,0.0979,0.04686
non_introgressed,0.0027,0.0022,1.21006
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0544,0.0383,1.42223
non_introgressed,0.0056,0.0346,0.16266
non_introgressed,0.0041,0.065,0.06295
non_introgressed,0.0173,0.0543,0.31914
non_introgressed,0.046,0.0627,0.73374
non_introgressed,0.012,0.1874,0.06393
non_introgressed,0.0186,0.0241,0.77319
non_introgressed,0.0,0.0,0.4
non_introgressed,0.0109,0.0653,0.16618
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0052,0.1111,0.0464
non_introgressed,0.011,0.1001,0.11014
non_introgressed,0.0561,0.0709,0.79127
non_introgressed,0.0508,0.0492,1.03361
non_introgressed,0.0372,0.0866,0.42953
non_introgressed,0.0145,0.0811,0.17949
non_introgressed,0.0036,0.0562,0.06438
non_introgressed,0.0227,0.1067,0.213
non_introgressed,0.0021,0.004,0.53104
non_introgressed,0.0068,0.0306,0.22205
non_introgressed,0.0103,0.0295,0.34877
non_introgressed,0.0611,0.0484,1.26291
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0117,0.0135,0.866
non_introgressed,0.0,0.0662,0.0001
non_introgressed,0.0093,0.1707,0.05459
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0055,0.007,0.79676
non_introgressed,0.0618,0.0575,1.0743
non_introgressed,0.0392,0.0503,0.77998
non_introgressed,0.0292,0.0813,0.35898
non_introgressed,0.007,0.0853,0.08173
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0173,0.0858,0.20165
non_introgressed,0.0019,0.0912,0.02106
non_introgressed,0.0188,0.1085,0.17291
non_introgressed,0.0336,0.0379,0.88672
non_introgressed,0.021,0.0268,0.78236
non_introgressed,0.0049,0.014,0.35187
non_introgressed,0.0014,0.0276,0.05246
non_introgressed,0.0076,0.1027,0.07353
non_introgressed,0.007,0.0845,0.08239
non_introgressed,0.0295,0.059,0.49941
non_introgressed,0.0,0.0,0.31638
non_introgressed,0.0,0.0555,0.0001
non_introgressed,0.0103,0.0404,0.25498
non_introgressed,0.0159,0.0838,0.18969
non_introgressed,0.0311,0.0726,0.42892
non_introgressed,0.022,0.0327,0.6722
non_introgressed,0.0163,0.1645,0.09888
non_introgressed,0.0069,0.0147,0.47101
non_introgressed,0.0234,0.1146,0.20416
non_introgressed,0.0209,0.0187,1.11369
non_introgressed,0.0053,0.0177,0.30135
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0127,0.1686,0.07561
non_introgressed,0.003,0.0029,1.03347
non_introgressed,0.0087,0.007,1.24302
non_introgressed,0.0,0.1119,0.0001
non_introgressed,0.0295,0.0492,0.60024
non_introgressed,0.0226,0.0802,0.28226
non_introgressed,0.0416,0.0497,0.83846
non_introgressed,0.0242,0.0875,0.27649
non_introgressed,0.0,0.0,0.4
non_introgressed,0.0,0.0,0.20434
non_introgressed,0.0101,0.0416,0.24275
non_introgressed,0.0084,0.074,0.11305
non_introgressed,0.0525,0.0376,1.398
non_introgressed,0.0452,0.0307,1.47224
non_introgressed,0.0066,0.0557,0.11916
non_introgressed,0.0029,0.003,0.96438
non_introgressed,0.0022,0.0224,0.09801
non_introgressed,0.0241,0.0479,0.50358
non_introgressed,0.0119,0.0261,0.4547
non_introgressed,0.0145,0.0432,0.33447
non_introgressed,0.0137,0.0181,0.7531
non_introgressed,0.0098,0.0825,0.11845
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0164,0.037,0.4435
non_introgressed,0.0101,0.0093,1.08905
non_introgressed,0.0057,0.0083,0.68204
non_introgressed,0.0243,0.1149,0.21122
non_introgressed,0.0,0.13,0.0001
non_introgressed,0.0059,0.123,0.04826
non_introgressed,0.0194,0.058,0.33439
non_introgressed,0.0072,0.1011,0.07097
