SPU,Class.L1,Class.L2,Class.L3
SPU_018698,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_019121,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_020203,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_021346,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_021513,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_022557,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_023847,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_023872,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_024335,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_024374,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_025156,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_025157,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_025606,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_025768,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_026575,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_027090,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_028718,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_001768,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_001769,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_003822,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_006118,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_006557,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_006558,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_015482,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_026302,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_026303,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_026322,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_028368,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_001892,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_002025,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_002467,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_004245,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_005815,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_006483,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_006614,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_008472,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_008663,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_008673,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_010331,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_010564,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_010565,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_010703,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_010776,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_010851,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_012977,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_012978,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_013140,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_013445,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_015863,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_016041,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_018059,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_018158,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_018452,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_018779,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_018828,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_019917,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_019919,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_020910,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_022057,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_022297,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_022633,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_022634,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_023378,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_023775,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_024610,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_024673,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_025374,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_025502,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_025975,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_026431,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_026514,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_027415,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_027443,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_027525,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_027759,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_028726,Adhesion,Adhesion_ECMNeural,Adhesion_ECMNeural
SPU_001532,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_001533,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_001638,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_002025,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_002467,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_002473,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_004245,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_008268,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
