NW_022145594.1:7356_16470	32.67	61.69	19.33	7.43
NW_022145594.1:138176_141081	10.71	48.88	17.35	18.17
NW_022145594.1:366293_369748	23.49	33.11	12.81	18.45
NW_022145594.1:379837_381629	21.01	20.83	8.25	32.21
NW_022145594.1:567028_580898	12.09	23.49	14.67	10.12
NW_022145594.1:646300_646438	42.65	61.87	39.17	23.76
NW_022145594.1:683485_688711	31.11	28.42	11.42	23.93
NW_022145594.1:747007_747011	75.0	38.0	22.5	55.5
NW_022145594.1:777076_777525	48.69	50.17	21.15	45.33
NW_022145594.1:988438_994094	17.0	16.71	7.54	28.64
NW_022145594.1:1033598_1034788	16.12	20.69	6.0	12.27
NW_022145594.1:1097757_1103833	20.82	32.88	13.59	21.68
NW_022145594.1:1170743_1170982	57.05	60.42	53.61	44.64
NW_022145594.1:1196958_1196996	45.18	83.37	75.84	95.18
NW_022145594.1:1277157_1289014	57.2	75.48	28.18	10.23
NW_022145594.1:1291048_1293039	38.95	50.83	29.1	12.84
NW_022145594.1:1305912_1307986	10.68	26.87	19.44	5.63
NW_022145594.1:1330923_1331570	25.09	33.84	11.72	13.3
NW_022145594.1:1337212_1337323	42.37	46.49	19.98	22.15
NW_022145594.1:1341116_1342287	48.1	43.1	13.85	51.09
NW_022145594.1:1342334_1342391	99.46	73.6	19.35	88.98
NW_022145594.1:1368225_1368307	51.09	68.74	16.99	64.66
NW_022145594.1:1380318_1380737	20.14	48.54	10.66	27.4
NW_022145594.1:1386016_1386094	73.03	45.83	20.19	64.27
NW_022145594.1:1386915_1387022	54.2	35.83	20.36	56.09
NW_022145594.1:1388931_1389254	68.9	62.84	18.61	70.08
NW_022145594.1:1389311_1389325	72.36	57.5	17.93	79.5
NW_022145594.1:1393370_1394776	11.33	24.24	5.73	14.99
NW_022145594.1:1395432_1399913	33.38	28.48	41.02	20.14
NW_022145594.1:1399923_1400077	23.19	39.81	8.52	31.01
NW_022145594.1:1401012_1402499	44.98	78.79	28.09	8.42
NW_022145594.1:1462080_1469734	31.86	35.21	11.28	17.81
NW_022145594.1:1560893_1561495	66.53	61.14	44.5	45.72
NW_022145594.1:1582645_1584455	48.29	55.95	43.66	10.5
NW_022145594.1:1590759_1601254	33.17	35.69	22.59	15.01
NW_022145594.1:1691628_1693398	23.79	39.49	22.53	31.36
NW_022145594.1:1697131_1697325	39.45	34.43	21.01	39.46
NW_022145594.1:1702965_1703635	23.28	19.38	15.23	50.6
NW_022145594.1:1733969_1737570	7.14	15.76	5.66	26.27
NW_022145594.1:1740791_1741601	20.06	25.83	6.67	12.53
