NW_022145594.1:27844929_27855298	18.6	14.11	7.18	18.77
NW_022145594.1:31081121_31115573	57.11	58.72	25.53	39.09
NW_022145594.1:32104016_32133475	23.4	22.26	11.55	12.26
NW_022145594.1:46393884_46404407	19.07	20.55	8.15	20.45
NW_022145594.1:46823336_46850420	28.3	16.36	5.58	25.31
NW_022145594.1:49259115_49273258	37.47	45.64	36.87	29.53
NW_022145596.1:12886919_12906143	34.21	19.84	9.95	13.84
NW_022145596.1:17972838_18026372	13.19	20.33	8.16	7.4
NW_022145596.1:20473456_20486226	14.01	15.19	6.13	16.59
NW_022145597.1:1762421_1783235	37.06	13.01	10.82	11.0
NW_022145597.1:17383559_17395197	22.06	23.12	13.73	18.92
NW_022145598.1:1971682_2000022	37.46	47.36	14.96	31.85
NW_022145598.1:7519946_7530404	16.84	20.55	7.18	21.92
NW_022145598.1:8232091_8243750	11.89	14.54	9.05	18.08
NW_022145598.1:11215248_11238031	27.88	34.99	12.66	14.74
NW_022145598.1:12174115_12191500	12.28	13.7	11.18	11.04
NW_022145598.1:12238904_12257585	8.7	61.94	20.79	5.82
NW_022145598.1:13444926_13472010	23.04	33.46	11.36	7.66
NW_022145598.1:18861615_18912093	9.48	13.72	6.54	12.76
NW_022145598.1:19005053_19016383	15.66	19.32	6.48	16.26
NW_022145598.1:21476669_21487421	25.31	45.8	12.7	11.91
NW_022145598.1:28833435_28873975	17.29	16.84	6.45	8.55
NW_022145598.1:29493652_29525803	23.52	26.45	33.78	25.08
NW_022145598.1:31125151_31156369	63.77	47.36	18.66	15.09
NW_022145598.1:35629778_35642945	11.53	17.89	6.28	13.66
NW_022145598.1:36260060_36273567	79.85	35.43	22.96	11.23
NW_022145600.1:1349893_1365387	17.19	18.74	10.72	7.71
NW_022145600.1:3813265_3888666	15.25	18.25	7.35	13.99
NW_022145600.1:7239340_7253331	29.13	48.37	10.52	13.1
NW_022145600.1:8488566_8498676	87.74	55.78	12.86	12.0
NW_022145600.1:8741293_8905477	8.71	11.93	5.9	7.26
NW_022145600.1:11576456_11665275	20.97	74.2	13.23	55.42
NW_022145600.1:18848487_18868759	28.94	23.64	23.31	55.02
NW_022145600.1:27731362_27752006	15.47	25.19	8.85	13.47
NW_022145600.1:36760974_36773623	48.22	44.14	22.51	82.09
NW_022145601.1:187665_198505	37.5	33.68	8.74	21.52
NW_022145601.1:756817_817294	30.36	73.48	33.52	13.78
NW_022145601.1:817329_828917	18.77	44.29	23.29	11.99
NW_022145601.1:15858706_15872023	17.43	26.77	9.68	12.46
NW_022145601.1:20985866_20995991	27.55	26.04	12.63	18.97
NW_022145601.1:21005949_21034303	17.42	17.12	7.66	16.93
NW_022145601.1:22272678_22285385	22.2	38.02	11.06	76.68
NW_022145601.1:26946015_26967030	25.57	22.23	12.78	20.74
NW_022145602.1:6812482_6822511	19.37	15.76	7.01	29.3
NW_022145602.1:11376617_11491569	12.73	30.96	9.85	24.31
NW_022145602.1:14330451_14392241	9.71	52.13	9.72	8.62
NW_022145602.1:17265127_17412012	23.96	36.17	15.12	11.0
